rpt_dt,age_group,age_gm,ncic,ct_m,vic_num
2004,>18,1,1101,2,1
2009,>18,1,1101,2,1
2010,>18,1,1101,2,4
2011,>18,1,1101,2,7
2012,>18,1,1101,2,11
2013,>18,1,1101,2,17
2014,>18,1,1101,2,14
2015,>18,1,1101,2,26
2016,>18,1,1101,2,19
2017,>18,1,1101,2,23
2018,>18,1,1101,2,34
2019,>18,1,1101,2,30
2020,>18,1,1101,2,36
2021,>18,1,1101,2,44
2022,>18,1,1101,2,235
2023,>18,1,1101,2,1340
2020,>18,1,1201,2,2
2021,>18,1,1201,2,2
2022,>18,1,1201,2,9
2023,>18,1,1201,2,439
2018,>18,1,1301,2,1
2020,>18,1,1301,2,1
2022,>18,1,1301,2,31
2023,>18,1,1301,2,1842
2015,>18,1,1313,1,1
2020,>18,1,1313,1,1
2021,>18,1,1313,1,3
2022,>18,1,1313,1,61
2023,>18,1,1313,1,1785
2005,18-25,2,1101,2,1
2006,18-25,2,1101,2,3
2007,18-25,2,1101,2,2
2008,18-25,2,1101,2,2
2009,18-25,2,1101,2,3
2010,18-25,2,1101,2,3
2011,18-25,2,1101,2,2
2012,18-25,2,1101,2,1
2013,18-25,2,1101,2,3
2014,18-25,2,1101,2,6
2015,18-25,2,1101,2,3
2016,18-25,2,1101,2,4
2017,18-25,2,1101,2,3
2018,18-25,2,1101,2,3
2019,18-25,2,1101,2,8
2020,18-25,2,1101,2,6
2021,18-25,2,1101,2,13
2022,18-25,2,1101,2,49
2023,18-25,2,1101,2,562
2020,18-25,2,1201,2,3
2021,18-25,2,1201,2,13
2022,18-25,2,1201,2,126
2023,18-25,2,1201,2,3042
2021,18-25,2,1301,2,2
2022,18-25,2,1301,2,37
2023,18-25,2,1301,2,3378
2016,18-25,2,1313,1,1
2020,18-25,2,1313,1,3
2021,18-25,2,1313,1,3
2022,18-25,2,1313,1,107
2023,18-25,2,1313,1,3428
1993,25-49,3,1101,2,1
1994,25-49,3,1101,2,2
1995,25-49,3,1101,2,2
1996,25-49,3,1101,2,1
1997,25-49,3,1101,2,3
1998,25-49,3,1101,2,1
1999,25-49,3,1101,2,2
2000,25-49,3,1101,2,2
2001,25-49,3,1101,2,1
2002,25-49,3,1101,2,1
2003,25-49,3,1101,2,2
2004,25-49,3,1101,2,2
2005,25-49,3,1101,2,2
2008,25-49,3,1101,2,2
2010,25-49,3,1101,2,2
2011,25-49,3,1101,2,3
2014,25-49,3,1101,2,3
2015,25-49,3,1101,2,3
2016,25-49,3,1101,2,6
2017,25-49,3,1101,2,3
2018,25-49,3,1101,2,7
2019,25-49,3,1101,2,8
2020,25-49,3,1101,2,9
2021,25-49,3,1101,2,17
2022,25-49,3,1101,2,72
2023,25-49,3,1101,2,1071
2003,25-49,3,1201,2,1
2010,25-49,3,1201,2,1
2011,25-49,3,1201,2,1
2012,25-49,3,1201,2,2
2013,25-49,3,1201,2,4
2014,25-49,3,1201,2,3
2017,25-49,3,1201,2,2
2018,25-49,3,1201,2,1
2019,25-49,3,1201,2,6
2020,25-49,3,1201,2,19
2021,25-49,3,1201,2,64
2022,25-49,3,1201,2,796
2023,25-49,3,1201,2,13732
2006,25-49,3,1301,2,1
2013,25-49,3,1301,2,3
2014,25-49,3,1301,2,1
2017,25-49,3,1301,2,1
2018,25-49,3,1301,2,1
2019,25-49,3,1301,2,2
2020,25-49,3,1301,2,1
2021,25-49,3,1301,2,20
2022,25-49,3,1301,2,132
2023,25-49,3,1301,2,10229
2001,25-49,3,1313,1,1
2003,25-49,3,1313,1,1
2007,25-49,3,1313,1,1
2013,25-49,3,1313,1,1
2018,25-49,3,1313,1,3
2019,25-49,3,1313,1,4
2020,25-49,3,1313,1,9
2021,25-49,3,1313,1,21
2022,25-49,3,1313,1,441
2023,25-49,3,1313,1,15862
2003,50-64,4,1101,2,1
2004,50-64,4,1101,2,1
2006,50-64,4,1101,2,3
2007,50-64,4,1101,2,1
2008,50-64,4,1101,2,1
2010,50-64,4,1101,2,1
2011,50-64,4,1101,2,1
2012,50-64,4,1101,2,1
2013,50-64,4,1101,2,2
2015,50-64,4,1101,2,1
2018,50-64,4,1101,2,2
2020,50-64,4,1101,2,2
2021,50-64,4,1101,2,1
2022,50-64,4,1101,2,16
2023,50-64,4,1101,2,242
2004,50-64,4,1201,2,1
2007,50-64,4,1201,2,1
2009,50-64,4,1201,2,2
2013,50-64,4,1201,2,3
2015,50-64,4,1201,2,1
2017,50-64,4,1201,2,2
2018,50-64,4,1201,2,3
2019,50-64,4,1201,2,12
2020,50-64,4,1201,2,21
2021,50-64,4,1201,2,48
2022,50-64,4,1201,2,569
2023,50-64,4,1201,2,7253
2003,50-64,4,1301,2,1
2018,50-64,4,1301,2,1
2021,50-64,4,1301,2,2
2022,50-64,4,1301,2,60
2023,50-64,4,1301,2,3471
1993,50-64,4,1313,1,2
2000,50-64,4,1313,1,1
2001,50-64,4,1313,1,2
2003,50-64,4,1313,1,1
2012,50-64,4,1313,1,2
2013,50-64,4,1313,1,1
2015,50-64,4,1313,1,1
2017,50-64,4,1313,1,2
2018,50-64,4,1313,1,4
2019,50-64,4,1313,1,4
2020,50-64,4,1313,1,6
2021,50-64,4,1313,1,13
2022,50-64,4,1313,1,194
2023,50-64,4,1313,1,7967
2003,65+,5,1101,2,1
2022,65+,5,1101,2,3
2023,65+,5,1101,2,34
2007,65+,5,1201,2,1
2009,65+,5,1201,2,1
2013,65+,5,1201,2,1
2014,65+,5,1201,2,1
2015,65+,5,1201,2,1
2018,65+,5,1201,2,3
2019,65+,5,1201,2,2
2020,65+,5,1201,2,7
2021,65+,5,1201,2,28
2022,65+,5,1201,2,350
2023,65+,5,1201,2,2899
2020,65+,5,1301,2,1
2022,65+,5,1301,2,6
2023,65+,5,1301,2,614
2013,65+,5,1313,1,1
2018,65+,5,1313,1,1
2020,65+,5,1313,1,1
2021,65+,5,1313,1,5
2022,65+,5,1313,1,43
2023,65+,5,1313,1,1871
2006,unknown,6,1101,2,1
2012,unknown,6,1101,2,1
2013,unknown,6,1101,2,1
2014,unknown,6,1101,2,1
2016,unknown,6,1101,2,1
2017,unknown,6,1101,2,1
2018,unknown,6,1101,2,1
2019,unknown,6,1101,2,1
2020,unknown,6,1101,2,1
2022,unknown,6,1101,2,5
2023,unknown,6,1101,2,165
2012,unknown,6,1201,2,1
2021,unknown,6,1201,2,2
2022,unknown,6,1201,2,31
2023,unknown,6,1201,2,457
2022,unknown,6,1301,2,3
2023,unknown,6,1301,2,435
2022,unknown,6,1313,1,11
2023,unknown,6,1313,1,668
